objectID,name,address,area,city,country,image_url,mobile_reserve_url,payment_options,phone,postal_code,price,reserve_url,state,_geoloc,food_type,stars_count,reviews_count,neighborhood,phone_number,price_range,dining_style
116302,Mexican Festival Restaurant,2672 Broadway,New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/116302.jpg,http://mobile.opentable.com/opentable/?restId=116302,"[""Cash Only""]",6469129334x,10025,2,http://www.opentable.com/single.aspx?rid=116302,NY,"{""lat""=>40.798199, ""lng""=>-73.968844}",Mexican,3.3,23,Upper West Side,(646) 912-9334,$30 and under,Casual Dining
4618,Cavatappo Grill,1712 First Avenue,New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/4618.jpg,http://mobile.opentable.com/opentable/?restId=4618,"[""AMEX"", ""MasterCard"", ""Visa""]",2129879260,10128,2,http://www.opentable.com/single.aspx?rid=4618,NY,"{""lat""=>40.779, ""lng""=>-73.948}",Italian,4.3,265,Upper East Side,(212) 987-9260,$31 to $50,Casual Elegant
41668,Tribeca Tavern,500 Ledgestone Way,Raleigh / Durham / Chapel Hill,Cary,US,https://www.opentable.com/img/restimages/41668.jpg,http://mobile.opentable.com/opentable/?restId=41668,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",9194653055,27519,2,http://www.opentable.com/single.aspx?rid=41668,NC,"{""lat""=>35.792264, ""lng""=>-78.848139}",American,4.2,791,Cary,(919) 465-3055,$30 and under,Casual Dining
79990,Seasons 52 - Roosevelt Field,630 Old Country Rd. Suite LL02,New York / Tri-State Area,Garden City,US,https://www.opentable.com/img/restimages/79990.jpg,http://mobile.opentable.com/opentable/?restId=79990,"[""AMEX"", ""Carte Blanche"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",5162485252,11530,3,http://www.opentable.com/single.aspx?rid=79990,NY,"{""lat""=>40.726768, ""lng""=>-73.634295}",American,4.4,2254,Garden City,(516) 248-5252,$30 and under,Casual Elegant
23812,Urban Farmer,525 SW Morrison St.,Portland / Oregon,Portland,US,https://www.opentable.com/img/restimages/23812.jpg,http://mobile.opentable.com/opentable/?restId=23812,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",5032224900x,97204,4,http://www.opentable.com/single.aspx?rid=23812,OR,"{""lat""=>45.518873, ""lng""=>-122.677834}",Steakhouse,4.3,1100,Downtown,(503) 222-4900,$50 and over,Fine Dining
6094,Il Fornaio - Sacramento,400 Capitol Mall,Sacramento / Sacramento Valley,Sacramento,US,https://www.opentable.com/img/restimages/6094.jpg,http://mobile.opentable.com/opentable/?restId=6094,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",9164464100,95814,2,http://www.opentable.com/single.aspx?rid=6094,CA,"{""lat""=>38.578335, ""lng""=>-121.502451}",Italian,4.4,1552,Sacramento,(916) 446-4100,$30 and under,Casual Elegant
55696,Tanzy,15257 North Scottsdale Road Suite F-220,Phoenix / Arizona,Scottsdale,US,https://www.opentable.com/img/restimages/55696.jpg,http://mobile.opentable.com/opentable/?restId=55696,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",4804833255x,85254,3,http://www.opentable.com/single.aspx?rid=55696,AZ,"{""lat""=>33.624514, ""lng""=>-111.925502}",Contemporary Italian,4.2,585,Scottsdale,(480) 483-3255,$30 and under,Casual Dining
104071,Red Knot,3 Golf Drive,New York / Tri-State Area,Kenilworth,US,https://www.opentable.com/img/restimages/104071.jpg,http://mobile.opentable.com/opentable/?restId=104071,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",9082412211x,07033,3,http://www.opentable.com/single.aspx?rid=104071,NJ,"{""lat""=>40.683822, ""lng""=>-74.276712}",Gastro Pub,2.6,143,Kenilworth,(908) 241-2211,$31 to $50,Casual Dining
13585,Waraji Restaurant,5910-147 Duraleigh Rd,Raleigh / Durham / Chapel Hill,Raleigh,US,https://www.opentable.com/img/restimages/13585.jpg,http://mobile.opentable.com/opentable/?restId=13585,"[""AMEX"", ""MasterCard"", ""Visa""]",9197831883x,27612,3,http://www.opentable.com/single.aspx?rid=13585,NC,"{""lat""=>35.85787, ""lng""=>-78.712707}",Japanese,4.5,128,Raleigh,(919) 783-1883,$31 to $50,Casual Dining
110026,Center Bar,"10 Columbus Circle,Fourth Floor",New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/110026.jpg,http://mobile.opentable.com/opentable/?restId=110026,"[""AMEX"", ""MasterCard"", ""Visa""]",2128239500x,10019,2,http://www.opentable.com/single.aspx?rid=110026,NY,"{""lat""=>40.768697, ""lng""=>-73.991818}",Contemporary American,4.4,51,Columbus Circle,(212) 823-9500,$30 and under,Casual Elegant
54055,Pace's Steak House - Hauppauge,325 Nesconset Hwy,New York / Tri-State Area,Hauppauge,US,https://www.opentable.com/img/restimages/54055.jpg,http://mobile.opentable.com/opentable/?restId=54055,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",6319797676,11788,3,http://www.opentable.com/single.aspx?rid=54055,NY,"{""lat""=>40.827311, ""lng""=>-73.204727}",Steakhouse,4.4,367,Hauppauge,(631) 979-7676,$31 to $50,Casual Elegant
50578,Snack Taverna,63 Bedford St.,New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/50578.jpg,http://mobile.opentable.com/opentable/?restId=50578,"[""AMEX"", ""MasterCard"", ""Visa""]",2129293499x,10014,2,http://www.opentable.com/single.aspx?rid=50578,NY,"{""lat""=>40.731043, ""lng""=>-74.004731}",Greek,4.3,312,West Village,(212) 929-3499,$30 and under,Casual Elegant
86998,Benihana - Carlsbad,755 Raintree Drive,San Diego,Carlsbad,US,https://www.opentable.com/img/restimages/86998.jpg,http://mobile.opentable.com/opentable/?restId=86998,"[""AMEX"", ""Carte Blanche"", ""Diners Club"", ""Discover"", ""JCB"", ""MasterCard"", ""Visa""]",7609298311,92011,2,http://www.opentable.com/single.aspx?rid=86998,CA,"{""lat""=>33.104359, ""lng""=>-117.313528}",Japanese,4.3,519,Carlsbad,(760) 929-8311,$30 and under,Casual Dining
16936,Waterboy,2000 Capitol Avenue,Sacramento / Sacramento Valley,Sacramento,US,https://www.opentable.com/img/restimages/16936.jpg,http://mobile.opentable.com/opentable/?restId=16936,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",9164989891x,95814,2,http://www.opentable.com/single.aspx?rid=16936,CA,"{""lat""=>38.572958, ""lng""=>-121.481219}",French American,4.6,1713,Sacramento,(916) 498-9891,$30 and under,Fine Dining
84328,Stanford's - Clackamas,8416 SE Sunnyside Rd.,Portland / Oregon,Clackamas,US,https://www.opentable.com/img/restimages/84328.jpg,http://mobile.opentable.com/opentable/?restId=84328,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",5036539400x,97015,2,http://www.opentable.com/single.aspx?rid=84328,OR,"{""lat""=>45.433056, ""lng""=>-122.577393}",American,4.1,228,Clackamas,(503) 653-9400,$30 and under,Casual Dining
13444,Weber Grill - Indianapolis,10 N. Illinois Street,Indiana,Indianapolis,US,https://www.opentable.com/img/restimages/13444.jpg,http://mobile.opentable.com/opentable/?restId=13444,"[""AMEX"", ""Diners Club"", ""Discover"", ""JCB"", ""MasterCard"", ""Visa""]",3176367600,46204,2,http://www.opentable.com/single.aspx?rid=13444,IN,"{""lat""=>39.767436, ""lng""=>-86.159899}",American,4.2,3403,Downtown Indy,(317) 636-7600,$30 and under,Casual Dining
7789,Huggo's,75-5828 Kahakai Road,Hawaii,Kailua-Kona,US,https://www.opentable.com/img/restimages/7789.jpg,http://mobile.opentable.com/opentable/?restId=7789,"[""AMEX"", ""Diners Club"", ""Discover"", ""JCB"", ""MasterCard"", ""Visa""]",8083291493,96740,3,http://www.opentable.com/single.aspx?rid=7789,HI,"{""lat""=>19.632411, ""lng""=>-155.989821}",Seafood,4.2,256,Kailua-Kona,(808) 329-1493,$31 to $50,Casual Elegant
133981,Cork Fire Kitchen,44501 Rainbow Canyon Road,San Diego,Temecula,US,https://www.opentable.com/img/restimages/133981.jpg,http://mobile.opentable.com/opentable/?restId=133981,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",9515871465x,92592,2,http://www.opentable.com/single.aspx?rid=133981,CA,"{""lat""=>33.467754, ""lng""=>-117.131861}",Californian,4.3,167,Temecula,(844) 873-8315,$30 and under,Casual Dining
147700,Swank & Swine,808 SW Taylor St.,Portland / Oregon,Portland,US,https://www.opentable.com/img/restimages/147700.jpg,http://mobile.opentable.com/opentable/?restId=147700,"[""AMEX"", ""MasterCard"", ""Visa""]",5039435844x,97205,2,http://www.opentable.com/single.aspx?rid=147700,OR,"{""lat""=>45.518193, ""lng""=>-122.681638}",American,4.2,227,SW Portland,(503) 943-5844,$30 and under,Casual Dining
59932,Province,333 North Central Avenue,Phoenix / Arizona,Phoenix,US,https://www.opentable.com/img/restimages/59932.jpg,http://mobile.opentable.com/opentable/?restId=59932,"[""AMEX"", ""Carte Blanche"", ""Diners Club"", ""Discover"", ""JCB"", ""MasterCard"", ""Visa""]",6024293600x,85004,2,http://www.opentable.com/single.aspx?rid=59932,AZ,"{""lat""=>33.451732, ""lng""=>-112.073815}",American,4.2,343,Phoenix,(602) 429-3600,$30 and under,Casual Dining
1883,Canonita,3377 Las Vegas Blvd.,Las Vegas,Las Vegas,US,https://www.opentable.com/img/restimages/1883.jpg,http://mobile.opentable.com/opentable/?restId=1883,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",7024143773,89109,2,http://www.opentable.com/single.aspx?rid=1883,NV,"{""lat""=>36.122343, ""lng""=>-115.17141}",Mexican / Southwestern,4.3,607,The Venetian and Palazzo,(702) 414-3773,$30 and under,Casual Dining
44743,Chutney Masala,4 West Main Street,New York / Tri-State Area,Irvington,US,https://www.opentable.com/img/restimages/44743.jpg,http://mobile.opentable.com/opentable/?restId=44743,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",9145915500,10533,2,http://www.opentable.com/single.aspx?rid=44743,NY,"{""lat""=>41.03979, ""lng""=>-73.87264}",Indian,4.3,297,Irvington,(914) 591-5500,$30 and under,Casual Elegant
113173,Pink Pony,3831 N Scottsdale Rd,Phoenix / Arizona,Scottsdale,US,https://www.opentable.com/img/restimages/113173.jpg,http://mobile.opentable.com/opentable/?restId=113173,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",4809456697x,85251,2,http://www.opentable.com/single.aspx?rid=113173,AZ,"{""lat""=>33.492595, ""lng""=>-111.925985}",American,3.9,162,Scottsdale,(480) 945-6697,$30 and under,Casual Elegant
59518,Cafe Ronda,249 Columbus Avenue,New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/59518.jpg,http://mobile.opentable.com/opentable/?restId=59518,"[""AMEX"", ""Discover"", ""MasterCard"", ""Pay with OpenTable"", ""Visa""]",2125799929x,10023,2,http://www.opentable.com/single.aspx?rid=59518,NY,"{""lat""=>40.777011, ""lng""=>-73.978901}",Spanish,4.1,42,Upper West Side,(212) 579-9929,$30 and under,Casual Dining
6967,Red Feather Lounge,246 N 8th Street,Idaho,Boise,US,https://www.opentable.com/img/restimages/6967.jpg,http://mobile.opentable.com/opentable/?restId=6967,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",2084296340x,83702,2,http://www.opentable.com/single.aspx?rid=6967,ID,"{""lat""=>43.616769, ""lng""=>-116.202399}",Northwest,4.6,391,Boise,(208) 429-6340,$30 and under,Casual Elegant
5823,Capannina,1809 Union St,San Francisco Bay Area,San Francisco,US,https://www.opentable.com/img/restimages/5823.jpg,http://mobile.opentable.com/opentable/?restId=5823,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",4154098001,94123,2,http://www.opentable.com/single.aspx?rid=5823,CA,"{""lat""=>37.797924, ""lng""=>-122.429248}",Italian,4.6,1226,Marina / Cow Hollow / Presidio,(415) 409-8001,$30 and under,Casual Elegant
6852,Catalina Barbeque Co. & Sports Bar,3645 W. Starr Pass Blvd.,Phoenix / Arizona,Tucson,US,https://www.opentable.com/img/restimages/6852.jpg,http://mobile.opentable.com/opentable/?restId=6852,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",5206700444x,85745,2,http://www.opentable.com/single.aspx?rid=6852,AZ,"{""lat""=>32.208569, ""lng""=>-111.042952}",Barbecue,4.1,140,Tucson,(520) 670-0444,$30 and under,Casual Dining
61354,Star of Honolulu - Five Star,1 Aloha Tower Drive,Hawaii,Honolulu,US,https://www.opentable.com/img/restimages/61354.jpg,http://mobile.opentable.com/opentable/?restId=61354,"[""AMEX"", ""Diners Club"", ""Discover"", ""JCB"", ""MasterCard"", ""Visa""]",8003346191x,96813,4,http://www.opentable.com/single.aspx?rid=61354,HI,"{""lat""=>21.306905, ""lng""=>-157.865025}",French American,5.0,5,Honolulu,(800) 334-6191,$50 and over,Fine Dining
10858,G. Michael's Bistro & Bar,595 South Third Street,Columbus,Columbus,US,https://www.opentable.com/img/restimages/10858.jpg,http://mobile.opentable.com/opentable/?restId=10858,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",6144640575,43215,2,http://www.opentable.com/single.aspx?rid=10858,OH,"{""lat""=>39.950306, ""lng""=>-82.995635}",Contemporary American,4.6,1471,German Village,(614) 464-0575,$30 and under,Fine Dining
5545,Roaring Fork,4800 N. Scottsdale Road,Phoenix / Arizona,Scottsdale,US,https://www.opentable.com/img/restimages/5545.jpg,http://mobile.opentable.com/opentable/?restId=5545,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",4809470795x,85251,2,http://www.opentable.com/single.aspx?rid=5545,AZ,"{""lat""=>33.506033, ""lng""=>-111.926161}",American,4.5,1676,Scottsdale,(480) 947-0795,$30 and under,Casual Elegant
19378,Buca di Beppo - Mira Mesa,10749 Westview Parkway,San Diego,San Diego,US,https://www.opentable.com/img/restimages/19378.jpg,http://mobile.opentable.com/opentable/?restId=19378,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",8585362822x,92126,2,http://www.opentable.com/single.aspx?rid=19378,CA,"{""lat""=>32.916566, ""lng""=>-117.118399}",Italian,4.2,612,Mira Mesa,(858) 536-2822,$30 and under,Casual Dining
11149,Brigantine Point Loma,2725 Shelter Island Dr.,San Diego,San Diego,US,https://www.opentable.com/img/restimages/11149.jpg,http://mobile.opentable.com/opentable/?restId=11149,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",6192242871,92106,2,http://www.opentable.com/single.aspx?rid=11149,CA,"{""lat""=>32.72078, ""lng""=>-117.228548}",Seafood,4.4,614,Point Loma,(619) 224-2871,$30 and under,Casual Dining
104623,West 29th,5560 West 29th Ave,Denver / Colorado,Wheat Ridge,US,https://www.opentable.com/img/restimages/104623.jpg,http://mobile.opentable.com/opentable/?restId=104623,"[""AMEX"", ""MasterCard"", ""Visa""]",3032333377x,80214,2,http://www.opentable.com/single.aspx?rid=104623,CO,"{""lat""=>39.758243, ""lng""=>-105.057522}",American,4.5,318,Wheat Ridge,(303) 233-3377,$30 and under,Casual Dining
71746,Hourglass Tavern,373 W. 46th St.,New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/71746.jpg,http://mobile.opentable.com/opentable/?restId=71746,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",2122652060x,10036,2,http://www.opentable.com/single.aspx?rid=71746,NY,"{""lat""=>40.760952, ""lng""=>-73.990326}",Comfort Food,4.1,786,Theater District / Times Square,(212) 265-2060,$30 and under,Casual Dining
36817,Tipsy Parson,156 Ninth Avenue,New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/36817.jpg,http://mobile.opentable.com/opentable/?restId=36817,"[""AMEX"", ""MasterCard"", ""Visa""]",2126204545x,10011,3,http://www.opentable.com/single.aspx?rid=36817,NY,"{""lat""=>40.744236, ""lng""=>-74.002595}",American,4.2,961,Chelsea,(212) 620-4545,$31 to $50,Casual Elegant
43246,Christian Michael's Ristorante,192 E. Third Street,Sacramento / Sacramento Valley,Chico,US,https://www.opentable.com/img/restimages/43246.jpg,http://mobile.opentable.com/opentable/?restId=43246,"[""AMEX"", ""MasterCard"", ""Visa""]",5308944005,95928,2,http://www.opentable.com/single.aspx?rid=43246,CA,"{""lat""=>39.730229, ""lng""=>-121.838735}",Mediterranean,4.5,340,Chico,(530) 894-4005,$30 and under,Casual Elegant
